#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
B35,PDT000797687.1,United Kingdom,GCA_013619955.1,1998,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-97=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AR_0360,PDT001256489.1,,GCA_022406595.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
41786/3,PDT001263745.1,Russia: Moscow,GCA_022551855.1,22/01/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
41786/2,PDT001263747.1,Russia: Moscow,GCA_022551885.1,22/01/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PAO579,PDT000010081.2,Australia: Monash,GCA_000296325.1,1975,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexX=COMPLETE",
KOL-3,PDT000391868.1,Estonia,GCA_003628795.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PAO1161,PDT000452806.1,Poland:Warsaw,GCA_004102665.1,03/11/2017,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
delta6_2,PDT000663336.1,,GCA_009799985.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
s3,PDT000945176.2,India,GCA_016765735.1,28/03/2019,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
MIN-155,PDT001223131.1,United Kingdom,GCA_021460035.1,01/05/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PHELES29,PDT000797727.1,United Kingdom,GCA_013625485.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PHELES27,PDT000797728.1,United Kingdom,GCA_013625495.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5394,PDT001113355.1,China: Suzhou,GCA_019687315.1,2014,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5367,PDT001113382.1,China: Suzhou,GCA_019687875.1,2016,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1034=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5408,PDT001113342.1,China: Suzhou,GCA_019687075.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-23=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5461,PDT001113429.1,China: Suzhou,GCA_019690205.1,2010,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-23=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5414,PDT001113335.1,China: Suzhou,GCA_019686935.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1026=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5413,PDT001113339.1,China: Suzhou,GCA_019687015.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1026=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5405,PDT001113344.1,China: Suzhou,GCA_019687115.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-70=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5406,PDT001113346.1,China: Suzhou,GCA_019687145.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-70=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5363,PDT001113386.1,China: Suzhou,GCA_019687955.1,2016,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-121=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
H16,PDT001265080.1,Japan,GCA_022569915.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-457=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
IOMTU 133,PDT000106107.1,Nepal: Kathmandu,GCA_001548335.1,2012,clinical,Homo sapiens,"aac(6')-Ib=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaDIM-1=COMPLETE,blaOXA-488=COMPLETE,blaPDC-12=COMPLETE,catB7=COMPLETE,catB=COMPLETE,crpP=COMPLETE,dfrA1=COMPLETE,dfrB5=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,rmtF2=COMPLETE,sul1=COMPLETE",
,PDT000768304.1,Spain,GCA_021678135.1,07/07/2016,clinical,Homo sapiens,"aac(3)-Ia=COMPLETE,aac(6')-Il=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-IIb=PARTIAL_END_OF_CONTIG,blaIMP-8=COMPLETE,blaIMP=COMPLETE,blaOXA-396=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT000768300.1,Spain,GCA_021678435.1,08/04/2016,clinical,Homo sapiens,"aadA1=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-Ia=PARTIAL_END_OF_CONTIG,aph(3')-VI=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mph(A)=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,sul1=COMPLETE,tmexC=COMPLETE,tmexD=COMPLETE,toprJ=COMPLETE",
,PDT000768265.1,Spain,GCA_021679035.1,18/01/2016,clinical,Homo sapiens,"ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG",
,PDT000768290.1,Spain,GCA_021678495.1,17/05/2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG",
,PDT000768295.1,Spain,GCA_021678475.1,24/06/2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG",
,PDT000768312.1,Spain,GCA_021678035.1,18/08/2016,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaPDC=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG",
,PDT000768318.1,Spain,GCA_021677915.1,19/09/2016,clinical,Homo sapiens,"ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaPDC=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG",
NCGM1984,PDT000048940.1,Japan: Aomori prefecture,GCA_000829255.1,2012,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aac(6')-Ib=COMPLETE,aac(6')-Il=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-34=COMPLETE,blaIMP=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,oprD_W138STOP=POINT,parC_S87L=POINT,sul1=COMPLETE",
NCGM1900,PDT000048941.1,Japan: Hyogo prefecture,GCA_000829275.1,2012,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aac(6')-Ib=COMPLETE,aac(6')-Il=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-34=COMPLETE,blaIMP=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,oprD_W138STOP=POINT,parC_S87L=POINT,sul1=COMPLETE",
,PDT000768272.1,Spain,GCA_021678855.1,18/02/2016,clinical,Homo sapiens,"aac(6')-IIa=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-IIb=PARTIAL_END_OF_CONTIG,aph(3')-Ib=COMPLETE,blaAER=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,dfrA1=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,qnrVC6=COMPLETE",
,PDT000768280.1,Spain,GCA_021678675.1,29/02/2016,clinical,Homo sapiens,"aac(6')-IIa=COMPLETE,aac(6')-Ib4=COMPLETE,aac(6')-Il=COMPLETE,aph(3'')=HMM,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaOXA-46=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cml=HMM,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT000768323.1,Spain,GCA_021677875.1,14/10/2016,clinical,Homo sapiens,"aac(6')-Ib=COMPLETE,ampR_G154R=POINT,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,glpT_T211P=POINT,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,oprD_Q142STOP=POINT,sul1=COMPLETE",
,PDT000768328.1,Spain,GCA_021677335.1,14/11/2016,clinical,Homo sapiens,"aac(3)-If=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-7=COMPLETE,blaOXA-396=COMPLETE,blaPDC-5=COMPLETE,blaPDC=PARTIAL_END_OF_CONTIG,blaVIM-1=COMPLETE,catB3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT000768275.1,Spain,GCA_021678795.1,04/04/2016,clinical,Homo sapiens,"ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-1=COMPLETE,blaVIM=PARTIAL_END_OF_CONTIG,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG",
,PDT000768321.1,Spain,GCA_021677855.1,03/10/2016,clinical,Homo sapiens,"aac(6')-Ib3=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-101=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,blaVIM-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT000768330.1,Spain,GCA_021677775.1,07/12/2016,clinical,Homo sapiens,"aac(6')-Ib3=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-101=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,blaVIM-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
ST260,PDT000048073.1,Australia: Victoria,GCA_000817865.1,2012-07,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,ant(2'')-Ia=COMPLETE,ant(4')-IIb=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-14=COMPLETE,blaOXA-904=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,cmlA6=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
IMP-13,PDT000418831.1,Belgium,GCA_003950015.1,2011,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-VIa=COMPLETE,bla=HMM,blaIMP-13=COMPLETE,blaOXA-914=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
S823_C17_RS,PDT000209102.1,Italy: Napoli,GCA_002135635.1,2013/2014,clinical,Homo sapiens,"aac(3)-Ic=COMPLETE,aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,blaVIM-1=COMPLETE,catB7=COMPLETE,cmlA5=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
S700_C14_RS,PDT000209110.1,Italy: Roma,GCA_002135765.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-13=COMPLETE,blaOXA-914=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,oprD_W138STOP=POINT,parC_S87L=POINT,sul1=COMPLETE",
S669_C14_BS,PDT000209111.1,Italy: Roma,GCA_002135795.1,2013/2014,clinical,Homo sapiens,"aac(6')-Il=COMPLETE,aadA2=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaOXA-4=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,cmlA6=COMPLETE,crpP=COMPLETE,dfrB5=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
S611_C13_RS,PDT000209119.1,Italy: Ancona,GCA_002135955.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaOXA-9=COMPLETE,blaPDC-3=COMPLETE,blaVIM-1=COMPLETE,catB7=COMPLETE,cmlB=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
S567_C10_BS,PDT000209120.1,Italy: Firenze,GCA_002135965.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib=COMPLETE,aac(6')-Il=PARTIAL,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaCTX-M=PARTIAL_END_OF_CONTIG,blaOXA-905=COMPLETE,blaPDC-8=COMPLETE,blaVIM-1=COMPLETE,blaVIM=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
S558_C10_BS,PDT000209122.1,Italy: Firenze,GCA_002136005.1,2013/2014,clinical,Homo sapiens,"aac(6')-29a=COMPLETE,aac(6')-29b=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=PARTIAL,parC_S87L=POINT,sul1=COMPLETE",
S434_C09_BS,PDT000209126.1,Italy: Udine,GCA_002136065.1,2013/2014,clinical,Homo sapiens,"aac(6')-Il=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,arr-4=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE",
S426_C09_BS,PDT000209128.1,Italy: Udine,GCA_002136125.1,2013/2014,clinical,Homo sapiens,"aac(6')-Il=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,arr-4=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE",
S422_C09_BS,PDT000209129.1,Italy: Udine,GCA_002136135.1,2013/2014,clinical,Homo sapiens,"aac(6')-Il=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,arr-4=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=PARTIAL,sul1=PARTIAL_END_OF_CONTIG",
S292_C06_RS,PDT000209130.1,Italy: Modena,GCA_002136165.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-1=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=PARTIAL",
S247_C06_RS,PDT000209132.1,Italy: Modena,GCA_002136205.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-13=COMPLETE,blaOXA-914=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=PARTIAL,oprD_W138STOP=POINT,parC_S87L=POINT,sul1=COMPLETE",
S252_C06_RS,PDT000209133.1,Italy: Modena,GCA_002136215.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaCTX-M=PARTIAL_END_OF_CONTIG,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,blaVIM-1=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=PARTIAL,sul1=PARTIAL_END_OF_CONTIG",
S122_C02_RS,PDT000209134.1,Italy: Lecco,GCA_002136245.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,tet(G)=COMPLETE",
S402_C09_RS,PDT000209145.1,Italy: Udine,GCA_002136435.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaGES-5=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE",
S220_C06_RS,PDT000209146.1,Italy: Modena,GCA_002136495.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-13=COMPLETE,blaOXA-914=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,oprD_W138STOP=POINT,parC_S87L=POINT,sul1=COMPLETE",
S811_C17_BS,PDT000209103.1,Italy: Napoli,GCA_002135615.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-13=COMPLETE,blaOXA-914=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL_END_OF_CONTIG,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
S461_C10_RS,PDT000209144.1,Italy: Firenze,GCA_002136455.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,blaVIM-1=COMPLETE,catB10=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
PA-76,PDT000771038.1,,GCA_021675215.1,15/12/2013,,,"aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
PA-76-10,PDT000771039.1,,GCA_021675195.1,15/12/2013,,,"aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
